"","de","en","es","fr","it","pt","ru","es-MX","pt-PT"
"W5L01-1.10","","...we will SAVE K1!","","","","","","","",
"W5L01-1.11","","FOUND IT!","","","","","","","",
"W5L01-2.01","","\"The code is unstable\";","","","","","","","",
"W5L01-2.02","","I'm the virus","","","","","","","",
"W5L01-2.03","","\"Let's make a
Klaus.PerfectJump==true!\";","","","","","","","",
"W5L01-2.04","","\"A door!\";","","","","","","","",
"W5L01-2.05","","What? 
THE DOOR DOESN'T WORK!","","","","","","","",
"W5L01-2.06","","NULLPOINTEREXCEPTION
(DoorNotFound)","","","","","","","",
"W5L01-2.07","","I can see the door!","","","","","","","",
"W5L01-2.08","","Awesome","","","","","","","",
"W5L01-2.09","","WE have to SAVE K1!","","","","","","","",
"W5L01-2.10","","There are some weird things in here my friend","","","","","","","",
"W5L01-3.01","","\"LET'S HACK THIS!\";","","","","","","","",
"W5L01-3.02","","\"the point is that
you can't fool me twice\";","","","","","","","",
"W5L01-3.03","","\"So many doors\";","","","","","","","",
"W5L01-3.04","","Did I just collect it?","","","","","","","",
"W5L01-3.05","","I'm getting the doors","","","","","","","",
"W5L01-3.06","","Found one","","","","","","","",
"W5L01-3.07","","Ok, IT'S JUST PLENTY MADNESS","","","","","","","",
"W5L01-3.08","","WHAAAAAT??!!!!","","","","","","","",
"W5L01-3.09","","OK, THAT'S 
REALLY NUTS!","","","","","","","",
"W5L01-3.10","","Unexpected!","","","","","","","",
"W5L01-3.11","","Let's grab
all the doors!","","","","","","","",
"W5L02-1.01","","\"So close,
So Far\";","","","","","","","",
"W5L02-1.02","","Cool glitch","","","","","","","",
"W5L02-1.03","","NEXT!","","","","","","","",
"W5L02-2.01","","\"Mmm... AGAIN?\"","","","","","","","",
"W5L02-2.02","","GOTCHA!","","","","","","","",
"W5L02-2.03","","COOLIO","","","","","","","",
"W5L02-2.04","","I told you I can hack","","","","","","","",
"W5L02-3.01","","We can be a good team","","","","","","","",
"W5L02-3.02","","Ouch!
Careful","","","","","","","",
"W5L02-3.03","","This is so old school","","","","","","","",
"W5L02-3.04","","now they call it \"RETRO\"","","","","","","","",
"W5L02-4.01","","This is
getting tougher;","","","","","","","",
"W5L02-4.02","","That was close","","","","","","","",
"W5L02-4.03","","This is ANARCHY","","","","","","","",
"W5L02-4.04","","Let's move on!","","","","","","","",
"W5L03-1.01","","WHAT??!","","","","","","","",
"W5L03-1.02","","Hey! Come here!","","","","","","","",
"W5L03-2.01","","Sneaky door","","","","","","","",
"W5L03-2.02","","We'll catch it!","","","","","","","",
"W5L03-3.01","","I feel so bad for what happened with K1","","","","","","","",
"W5L03-3.02","","The power felt so great","","","","","","","",
"W5L03-3.03","","We will save him","","","","","","","",
"W5L03-3.04","","It was consuming me","","","","","","","",
"W5L03-4.01","","I don't even know how it happened","","","","","","","",
"W5L03-4.02","","I just woke up","","","","","","","",
"W5L03-4.03","","And he was 
already on the floor","","","","","","","",
"W5L04-1.02","","Obvious, right?","","","","","","","",
"W5L04-1.03","","It feels weird...","","","","","","","",
"W5L04-1.04","","...to walk over my own corpse...","","","","","","","",
"W5L04-1.05","","Let's do it!","","","","","","","",
"W5L04-1.06","","FOR K1!","","","","","","","",
"W5L04-2.01","","The code is reacting
We're close to the variable","","","","","","","",
"W5L04-2.02","","Stairways of Klauses","","","","","","","",
"W5L04-2.03","","Right now its pretty clear...","","","","","","","",
"W5L04-2.04","","...nothing 
can stop us!","","","","","","","",
"W5L04-3.01","","I thought that 
I would never said this
but...","","","","","","","",
"W5L04-3.02","","KILL ME!","","","","","","","",
"W5L04-3.03","","A tower of klaus","","","","","","","",
"W5L04-3.04","","this time is literally...","","","","","","","",
"W5L04-3.05","","OVER MY DEAD BODY!","","","","","","","",
"W5L04-4.01","","Like nothing that I have seen before","","","","","","","",
"W5L04-4.02","","Remember to NOT be careful here","","","","","","","",
"W5L04-4.03","","C'mon, one more!","","","","","","","",
"W5L05-1.01","","CRITICALERROR
(Klaus.GravityFloor anulated)","","","","","","","",
"W5L05-1.02","","Why you are upside down?","","","","","","","",
"W5L05-1.03","","The code 
can't beat us","","","","","","","",
"W5L05-1.04","","This doesn't make sense","","","","","","","",
"W5L05-1.05","","JUMP!","","","","","","","",
"W5L05-2.01","","The script! I can see it!","","","","","","","",
"W5L05-2.02","","It's K1LifeState.cs!","","","","","","","",
"W5L05-2.03","","LET'S CHANGE 
THE WORLD!","","","","","","","",
"W5L05-2.04","","LET'S REVIVE K1!","","","","","","","",
"W5L05-2.05","","C:\Klaus\Assets\K1\Script\Decoded> dir

      Directory of C:\Klaus\Assets\K1\Script\Decoded

05/24/2065  11:25 AM  <Dir>       111,276,160  K1Movement.cs
05/24/2065  11:25 AM  <Dir>               760,844  K1Movement.cs
05/24/2065  11:25 AM  <Dir>                 10,058  K1Movement.cs
05/24/2065  11:25 AM  <Dir>                        329  K1DLCOrigins.cs
05/24/2065  11:25 AM  <Dir>                          58  K1LifeState.cs
            5 File(s) 112,047,449 kryptes





","","","","","","","",
"W6L01-01","","The sun...","","","","","","","",
"W6L01-02","","..beautiful","","","","","","","",
"W6L01-03","","I'm feeling it for the first time","","","","","","","",
"W6L01-04","","Fresh air, everywhere","","","","","","","",
"W6L01-05","","Look!, Birds!","","","","","","","",
"W6L01-06","","I'm at peace right now","","","","","","","",
"W6L01-07","","We're having quite an adventure, right?","","","","","","","",
"W6L01-08","","Do you see all these ruins?","","","","","","","",
"W6L01-09","","Is this what society has become now?","","","","","","","",
"W6L01-10","","I'm afraid that after all this journey...","","","","","","","",
"W6L01-11","","...we don't get all the answers","","","","","","","",
"W6L01-12","","is so different to experience it by myself","","","","","","","",
"W6L02-01","","The sun is going down","","","","","","","",
"W6L02-02","","engaging colors","","","","","","","",
"W6L02-03","","more engaging than plain red, green and purple for sure","","","","","","","",
"W6L02-04","","Such a relief that we saved K1","","","","","","","",
"W6L02-05","","and because of that","","","","","","","",
"W6L02-06","","I'm fine with myself","","","","","","","",
"W6L03-01","","It's getting colder","","","","","","","",
"W6L03-02","","as you can see, I'm in a zen state right now","","","","","","","",
"W6L03-03","","After this emotional journey","","","","","","","",
"W6L03-04","","A regular jump'n run feels refreshing","","","","","","","",
"W6L03-05","","Having a friend is too much responsibility...","","","","","","","",
"W6L03-06","","...specially if you're possessed by power and try to kill him","","","","","","","",
"W6L03-07","","But k1 is now fine","","","","","","","",
"W6L03-08","","And that's what matters","","","","","","","",
"W6L03-09","","the sun is dying","","","","","","","",
"W6L03-10","","the night is coming","","","","","","","",
"W6L04-01","","Wow, the rain","","","","","","","",
"W6L04-02","","what a peaceful sound and feeling","","","","","","","",
"W6L04-03","","drops all over my head","","","","","","","",
"W6L04-04","","they don't ruin my hairstyle, if you wonder","","","","","","","",
"W6L04-05","","I have never seen the stars before","","","","","","","",
"W6L04-06","","they look magnificent","","","","","","","",
"W6L04-07","","Now I get all that \"We're just a star in the universe\" metapore","","","","","","","",
"W6L04-08","","I'm just a man... or a clone, if you follow me","","","","","","","",
"W6L04-09","","At the end you're just a guy doing the work","","","","","","","",
"W6L04-10","","now I realise that is not your fault","","","","","","","",
"W6L04-11","","You just press buttons. I'm fine with a hardworking person","","","","","","","",
"W6L04-12","","And, in fact, without you I would stay in my ignorant state inside that basement","","","","","","","",
"W6L04-13","","So, yes, at the end, I need you and you need me to exist","","","","","","","",
"W6L04-14","","we complement each other","","","","","","","",
"W6L04-15","","the morning is coming","","","","","","","",
"W6L04-16","","a new day is about to be born","","","","","","","",
"W6L05-01","","the sunshine","","","","","","","",
"W6L05-02","","A hack to change my life","","","","","","","",
"W6L05-03","","A hack to see behind and learn from this journey","","","","","","","",
"W6L05-04","","So this is not over","","","","","","","",
"W6L05-05","","is it?","","","","","","","",
"W6L05-06","","am I prepared yet?","","","","","","","",
"W6L05-07","","If not, going down is the only way","","","","","","","",
"W6L05-08","","????","","","","","","","",
"W6L05-09","","So this is not over yet","","","","","","","",
"W6L06-01","","That's... me","","","","","","","",
"W6L06-02","","But... is this a game","","","","","","","",
"W6L06-03","","who're these guys?","","","","","","","",
"W6L06-04","","Oh Klaus, you're finally here!","","","","","","","",
"W6L06-05","","Sorry, I had to finish this script first","","","","","","","",
"W6L06-06","","So you're number+NUMBER+ That sounds like a good one","","","","","","","",
"W6L06-07","","How do you know that?","","","","","","","",
"W6L06-08","","Check your tattoo","","","","","","","",
"W6L06-09","","Oh, it says... KLAUS + NUMBER+","","","","","","","",
"W6L06-10","","Oh, By the way \"PLAYER\" thanks for bringing him here","","","","","","","",
"W6L06-11","","NUMBER+ or better said, Klaus... hehe come with me","","","","","","","",
"W6L06-12","","it's always weird when a new Klaus appears","","","","","","","",
"W6L06-13","","a new one? What do you...?","","","","","","","",
"W6L06-14","","Come with me","","","","","","","",
"W6L06-15","","Look, I know that it has been pretty tough for you","","","","","","","",
"W6L06-16","","But you needed to pass through all of that first","","","","","","","",
"W6L06-17","","You needed to have more experience","","","","","","","",
"W6L06-18","","You had the body but not the mind","","","","","","","",
"W6L06-19","","hardcore stuff the laser levels. ah?","","","","","","","",
"W6L06-20","","And you found K1! What a guy. Him and me have a story...","","","","","","","",
"W6L06-21","","But it took me a while to realise that it was my fault","","","","","","","",
"W6L06-22","","anyways you must have a lot of questions","","","","","","","",
"W6L06-23","","But I'm going to tell you straight forward what I want","","","","","","","",
"W6L06-24","","I want you to replace me","","","","","","","",
"W6LBOSS-01","","I know that it's a hard decision
But I'm not exactly getting younger","","","","","","","",
"W6LBOSS-02","","and you... you're perfect","","","","","","","",
"W6LBOSS-03","","physical performance 10/10","","","","","","","",
"W6LBOSS-04","","Creativity 10/10","","","","","","","",
"W6LBOSS-05","","And don't let met start with that \"Saving K1\" journey stuff","","","","","","","",
"W6LBOSS-06","","That was nuts!","","","","","","","",
"W6LBOSS-07","","So... do you agree?","","","","","","","",
"W6LBOSS-08","","NO!!!","","","","","","","",
"W6LBOSS-09","","Are you sure?","","","","","","","",
"W6LBOSS-10","","Sorry. I have to see the outside world. 
Too much time inside these walls","","","","","","","",
"W6LBOSS-11","","But there's nothing for you out there.
Actually, there's nothing out there","","","","","","","",
"W6LBOSS-12","","i have to find that out for myself. I have been depending too much on others","","","","","","","",
"W6LBOSS-13","","Independence... I see. No, it's fine","","","","","","","",
"W6LBOSS-14","","I'm the one who is sorry. I can't let you go out","","","","","","","",
"W6LBOSS-15","","By the way \"Player\" YOU ARE FIRED","","","","","","","",
"W6LBOSS-16","","i always love to say that. But you did a horrible job","","","","","","","",
"W6LBOSS-17","","Look at him, now he's prepared but doesn't want to work","","","","","","","",
"W6LBOSS-18","","But don't worry I'll write a great letter of recomendation","","","","","","","",
"W6LBOSS-19","","MECHA KLAUS","","","","","","","",
"W6LBOSS-20","","ROBOT AFTER ALL","","","","","","","",
"W6LBOSS-21","","Ughh... PLAYER! Why are you such an angry employee?","","","","","","","",
"W6LBOSS-22","","I told you about the great letter of recommendation","","","","","","","",
"W6LBOSS-23","","and you K1. You never have enough, right?
First Julia and now this?","","","","","","","",
"W6LBOSS-24","","Do you know how much that mecha cost?!!","","","","","","","",
"W6LBOSS-25","","More than your salary for a 100 years!","","","","","","","",
"W6LBOSS-26","","You have no idea of what's outside","","","","","","","",
"W6LBOSS-27","","You're not prepared","","","","","","","",
"W6LBOSS-28","","-KLAUS-","","","","","","","",
"W6LBOSS-29","","GENIUS MASTERMIND","","","","","","","",
"W6LBOSS-30","","What does this title mean?","","","","","","","",
"W6LBOSS-31","","Are you crazy? I'm not going to fight against them
If they want to go, that's their problem","","","","","","","",
"W6LBOSS-32","","Just remember, the world is not prepared for you","","","","","","","",
"W6LBOSS-33","","K1! We can finally go. It's over!","","","","","","","",
"W6LBOSS-34","","What're you doing? Do you understand me?","","","","","","","",
"W6LBOSS-35","","K1 will stay","","","","","","","",
"W6LBOSS-36","","WHAT?","","","","","","","",
"W6LBOSS-37","","This is K1's world. I'm a king here.
It was a funny adventure, but it's over.
Now, you have to go","","","","","","","",
"W6LBOSS-38","","What're you talking about? C'mon!","","","","","","","",
"W6LBOSS-39","","K1 says Bye!","","","","","","","",
"W6LBOSS-40","","K1...","","","","","","","",
"W6LBOSS-41","","I guess this is it...","","","","","","","",
"W6LBOSS-42","","you lost your job because of me. Sorry about that","","","","","","","",
"W6LBOSS-43","","thanks you're a true friend","","","","","","","",
"W6LBOSS-44","","I can see the end","","","","","","","",
"W6LBOSS-45","","I'll see you on the other side","","","","","","","",
"W6LBOSS-46","","You're going to be there, right?","","","","","","","",
"Wname.01","","BASEMENT FLOOR","","","","","","","",
"Wname.02","","DUCTS FLOOR","","","","","","","",
"Wname.03","","OFFICES FLOOR","","","","","","","",
"Wname.04","","ELECTRIC FLOOR","","","","","","","",
"Wname.05","","GLITCH WORLD","","","","","","","",
"Wname.06","","ROOFTOP","","","","","","","",
"WPLANTING.01","","I still know basic mundane things like...","","","","","","","",
"WPLANTING.02","","...The sun is warm","","","","","","","",
"WPLANTING.03","","the rain is cold","","","","","","","",
"WPLANTING.04","","I mean, Nature is not big deal, I prefer computers and servers","","","","","","","",
"WPLANTING.05","","But I even know things that are not that obvious like....","","","","","","","",
"WPLANTING.06","","It is impossible to lick your elbow.","","","","","","","",
"WPLANTING.07","","and 76.5% of the people who read that
tries to lick their elbow","","","","","","","",
"WPLANTING.08","","However, 78.23% of statistics are made up","","","","","","","",
"WPLANTING.09","","anyways, the point is that...","","","","","","","",
"WPLANTING.10","","is the details what I can't remember","","","","","","","",
"WPLANTING.11","","who is my dad?","","","","","","","",
"WPLANTING.12","","Why am I dressed like an office man?","","","","","","","",
"WPLANTING.13","","You know, selective amnesia","","","","","","","",
"WPLANTING.14","","Where was my god?","","","","","","","",
"WPLANTING.15","","My rational god of numbers?","","","","","","","",
"WPLANTING.16","","My maths and science. I didn't care anymore","","","","","","","",
"WPLANTING.17","","I'm nothing","","","","","","","",
"WPLANTING.18","","At the end, I was just like the others.","","","","","","","",
"WPLANTING.19","","Another egotistical chauvinist man thinking that I'm better than others","","","","","","","",
"WPLANTING.20","","I couldn't let my succesor be like that","","","","","","","",
"WPLANTING.21","","He had to be better than me.","","","","","","","",
"WPLANTING.22","","He can't be human","","","","","","","",
"WPLANTING.23","","Have you drink our coffee? It has caffeine and that artificial quemical that you love","","","","","","","",
"WPLANTING.24","","Let's shake hands. Careful, it might hurt you!","","","","","","","",
"WPLANTING.25","","Free will? No way. The boss is always right","","","","","","","",
"WPLANTING.26","","We care about you. Now go back to work","","","","","","","",
"WPLANTING.27","","Why coffee break? You can just take your cofee in your cubicle","","","","","","","",
"WPLANTING.28","","Do you see that red spot? Don't worry. It's just us seeing you","","","","","","","",
"WPLANTING.29","","I loved to be the boss","","","","","","","",
"WPLANTING.30","","I loved to have minions following my orders","","","","","","","",
"WPLANTING.31","","I loved to be the visionary","","","","","","","",
"WPLANTING.32","","But I just did it for myself","","","","","","","",
